author,comment,published_at,like_count
@Pisces18-go7yg,"😂😂😂😂
ngimpiiiii... 
mandat rakyat siapa, yg mau kasih mandaaaat..... ???
debat aja ga berkualitas ko ngomong mandat dari rakyat....
ingaaaaaaat....... pelanggar hukum.... nepotisme......apa di sebut mandat d\ri rakyat...!!! 
😇😇😇😇😇",2024-03-23T18:35:44Z,0
@robysatriapratama311,Selamat ya pak. Menjadi pemimpin di negeri ya besar ini pak. Saya harap bapak dapat membawa Indonesia ke arah yang lebih baik. Dan saya ingatkan jangan korupsi uang rakyat ya pak. Karena bahwasannya ALLAH SWT maha melihat pak. Dan 1 biji sawi pun akan di perhitungkan di akhirat kelak pak.,2024-03-23T18:10:33Z,0
@adesuryani6662,Selamat pak perabowo.kami sekluwarga.dari dlu sampai sekarang masi setia ke pada bapak.saya sangat senang bapak terpili.muda2han kami rakyat kecil bisa terbantu.trutama pedagang kecil pak,2024-03-23T17:55:15Z,0
@saifurridho7884,Mantab,2024-03-23T17:48:23Z,1
@AcepM123,Merdeka,2024-03-23T17:10:21Z,0
@AcepM123,Merdeka,2024-03-23T17:09:55Z,0
@AcepM123,Merdeka,2024-03-23T17:09:09Z,0
@AcepM123,Merdeka,2024-03-23T17:08:28Z,0
@andirukendi6878,"Tetap terbaik Anies Muhaimin Bravo AMIN
Kita lihat nanti putusan MK",2024-03-23T17:05:50Z,0
@Darulmasrul,Semoga Allah mudahkan jalankan amanat rakyat dan bangsa Indonesia tercinta. Di tanganmu jendral Prabowo Subianto,2024-03-23T16:51:56Z,0
@KotaBatamm-wk7du,Semoga or yg d bilang hebat ini mampu mmbendung bencana banjir gempa dan sunami yg akan mnimpa indonesia.aamin.,2024-03-23T16:49:26Z,0
@AndiAsmardi-cg6fw,Selamat pak Prabowo,2024-03-23T16:33:47Z,0
@alion7872,Selamat idonesia mendapat pemimpin yang barusemoga rakyat semakin diberi kemudahan dlm segala hal,2024-03-23T16:10:26Z,0
@VitaTita-nj9tw,Saya cmn fokus sama pak Prabowo Subianto yg sangat menghargai dan tak lupa sama ketum2 yg mendukung serta tokoh2 hebat yg mendukung jg hingga mantap goll menang 02 tak lupa relawan2✌️✌️😍😁mksh pak anda hebat,2024-03-23T15:46:21Z,0
@dasmiyasmin1909,alhamdulillah ❤,2024-03-23T15:16:41Z,0
@aimainultasta1709,Alhamdulillah pak Prabowo menang pak Prabowo presidenku,2024-03-23T14:15:16Z,0
@ooo_kane9618,"SELAMAT untuk BAPAK PRABOWO SUBIANTO & MAS GIBRAN, sehat selalu dalam menjalankan tugas2 di pemerintahan yang akan datang.
INDONESIA MAJU",2024-03-23T13:52:38Z,0
@bemper1945,Alhamdulillah semoga amanah slm lombok pak,2024-03-23T13:07:44Z,0
@daruissitegar162,🙋👍betul pak mandat kami sebagai mesarakat Indonesia kami mandat ke bapak berbowo terus kn pak 🙏👳🙋,2024-03-23T12:48:59Z,0
@TehKokom-d4v,😊😊😊😊♥️♥️♥️♥️👍,2024-03-23T11:50:41Z,0
@boxxanimation2827,🤝🙏 Amin YRA❤,2024-03-23T11:40:50Z,0
@TinaWaworundeng,Selamat dan Sukses pak Prabowo dan mas Gibran❤,2024-03-23T11:25:39Z,0
@zakiyaaja7513,"Alhamdulillah... akhirnya perjuangan dan penantian selama bertahun-tahun terwujud. Kita memang hrs yakin bahwa Allah mengabulkan apa yg kita minta jika itu memang baik untuk kita menurutNya. Semoga BPK dan mas Gibran amanah, jujur dan benar2 melakukan yg terbaik untuk rakyat Indonesia.",2024-03-23T10:28:28Z,1
@umardani7482,"Semoga pak Prabowo bisa tegas seperti pak Soeharto, karena negara ini terlalu melenceng",2024-03-23T09:58:39Z,0
@beninagasta4592,Alhamdulillah,2024-03-23T09:22:13Z,0
@faij624,"Alhamdulillah pak Prabowo menjadi pemimpin Indonesia maju, semoga saja Palembang menuju Lampung jalan menjadi baik tidak ada jalan jelek amin🤲🤲🤲🤲",2024-03-23T08:50:20Z,0
@AmosMithun,kenapa kameramen 1 itu dari balik layar/belakang?,2024-03-23T07:46:54Z,0
@satwaworld8031,Selamat pak Prabowo,2024-03-23T07:26:09Z,0
@tanggamuschannel,Josss,2024-03-23T07:17:39Z,0
@Artos77,"Komando sekarang sudah ada di bpak, tugas saya sudah beres jendral, tiga kali saya nyoblos bapak ini",2024-03-23T07:07:11Z,0
@jeziana7938,❤️❤️❤️❤️ mandat nya jos perabowo presidenku❤❤,2024-03-23T06:48:07Z,0
@harnisuharni1322,😊alkamdulillah pak semoga bpk diberi kesehatan dimudahkan segala urusan dan tugas sertabisa membawa semua rakyat indonesiadg adil bijaksana tentram rukun damai dan menjafi pemimpin yang amanah serta selalu bersabar diri 😢walaupun diterpa goncangan yang begitu hebat tapi bpk menjalani semua itu dg hati sabar ingat ya pak selalu sabar hati bijak dlm menghadapi permasalahan negara maupun dunia selamat ya pak semoga bpk drsehatkan dan dibuang penyakit penyakit yang ada pada bpk.selamat bertugas pak dan titip pesan mohon selalu diperhatikan kesejahteraan para pensiun amin,2024-03-23T06:39:11Z,0
@jhonjhoni443,Saya tidak berdiri bersama anda apalagi mendukung anda.otak saya masih waras.dan masih memikirkan azab aherat,2024-03-23T05:40:51Z,0
@boboho8354,mantap pak prabowo,2024-03-23T04:35:02Z,0
@Mnurman78,"Jgn hanya ngomong buktikan... Indonesia selama ini dipimpin oleh orang Jawa sebagai mayoritas.. tapi bnyk kemiskinan,,,klo ini ngk jauh beda... pilpres tahun yg akan datang suku lain perlu bermusyawarah... negeri ini kacau sejak kesultanan bersatu dengan NKRI.. korupsi kolusi nepotisme belum berhasil.",2024-03-23T04:28:02Z,0
@ramankrisna6773,Mandat bansos nya perabowo,2024-03-23T03:15:57Z,0
@zamharirullatief1570,Akhirnya ya pak setelah sekian lama..jalurnya emng harus curang biar menang😂😂,2024-03-23T02:37:40Z,0
@jafarchannel6241,Baru kali ni semua nama disebut...semoga sehat sll pak Prabowo subianto Aminnnnn,2024-03-23T02:21:23Z,0
@RaxiGodPlay,❤❤❤❤pilihanku,2024-03-23T02:00:26Z,0
@fawazabdurrafi2712,"semoga pa Prabowo sehat sampai 2029, agar wakilnya TDK JD penguasa",2024-03-23T01:38:54Z,1
@samudralampubanjarnegara6485,semoga amanah pak 🙏🙏,2024-03-23T01:32:40Z,0
@azizjunarsi813,Cuma rakyat yg jadi pendukungmu saja klu kani tdk sbb hasil pemilu yg di umumkn tdk bersh dan jujur blm aelesai memilih dan di hitung sd di kSh tau menang dan lebih gilanya lgi unggul di 36.propensi smntra di saat kampanye sepi tdk heran lagi mulai dari KPU dan yg lainnya sd kalina sogok klu berani dan yakin dg menang yg sesungguhnya berani di buka hsl pemilu dan berani di sumpah dg Alquran dan sumph yg lainnya,2024-03-23T01:31:28Z,0
@sujatnosujatno,Mari kita sujud sukur yang mendukung perabowo giberan telah resmi menang Menjadi persiden ri semoga sehat selalu panjang umur amin yarobal alamin,2024-03-23T00:48:21Z,0
@maedoputra7782,"ingat pak prabowo , ambil kabinet dari putra puri bangsa terbaik , jangan hanya kaum elite , buat system elektronik pemimpin tanpa pencitraan , yg makmur tanpa gaduh kyak negara maju",2024-03-22T23:20:05Z,0
@SriWahyuni-r2s9l,"kami liat taringmu utk menyikat semua koruptor meski dalam koalisi ,,",2024-03-22T22:54:39Z,0
@IKSPIJAYA1980,Jangan sampai ajak anies sama janggar ke koalisi indonesia maju pak...rakyat pasti tdk akan rela...,2024-03-22T22:31:01Z,0
@deniirawan2934,Merasa merdeka kembali 🎉🎉🎉😘😘😘,2024-03-22T22:17:32Z,0
@tanlian501,Semuahnya ketentuan ALLOH. Kan,2024-03-22T22:07:52Z,0
@nisasafiramaheswari4399,"hidup prabowo,giban.semoga membawa kebaikan bagi bangsa indinesia.dan tida lupa dengan janji memberi ke adilan dan kemakmuran bagi rakyat.dari rakyat untuk rakyat.semogs bpk diberikan kesehatan lahir batin. amin",2024-03-22T22:02:08Z,0
@0.1Dls,Anies nangis di pojokan,2024-03-22T21:57:53Z,0
@hepiyarto7601,Jagoku akhirnya duduk juga sebagai RI 1.. selamat pak Prabowo....,2024-03-22T21:45:34Z,0
@iyansuryantontv3097,"Kami butuh bukti 
Bukan omon omon 
Liat aja yg akan terjadi kami nyimak",2024-03-22T21:27:05Z,0
@andiruswadi3503,smga cita cita bangsa Indonesia dpt tercapai...Aamiin Yra ..,2024-03-22T19:47:37Z,0
@nuryadi5317,"Selamat datang orde baru jilid 2, memang penting untuk mengedukasi perjalanan sejarah politik dari orde lama, orde baru dan orde reformasi, agar generasi muda paham arus ideologi yang tertanam setiap orde",2024-03-22T17:50:49Z,0
@HamzahRamadhan-yb1fm,❤❤❤,2024-03-22T17:42:41Z,0
@KirunPawang-ym2fw,atas keadilan nya kenapa tak di sebut pak😂😂😂😂😂,2024-03-22T17:41:41Z,0
@riskiamrullah9486,"Alhmdulillah Ya robil alamin .... selamat bpk Prabowo semoga pemimpin yg amanah , rakyat Indonesia mKmur n sejatera  Indonesia emas, semoga 
Bpk yg sehat sehat  selalu terap dlm Lindungan Allah SWT 
Aamin Aamin aami Yaa Allah",2024-03-22T17:33:38Z,1
@IjahIjah-c7u,✌✌✌✌🥰🥰,2024-03-22T17:32:07Z,0
@aangaja241,Alhamdulillah 🤲🤲🤲,2024-03-22T17:29:47Z,0
@guztyendyedroz8549,Masyaallah subhnaallah almhamdulillah mantep perjuangan qta menang qta sukses okede,2024-03-22T17:20:37Z,0
@jaenudin7845,Luar biasa,2024-03-22T17:16:07Z,0
@eerr5544,Masa Allah Allahhsmdulilah❤❤❤,2024-03-22T17:15:48Z,0
@KenArokk,Alhamdulillah... Titip Nasib Abang-abang Ojek_online (Ojol ) ya Pak utk Kesejahteraan 💰 dn hak-hak mereka jg di perhatikan. Rahayu 🇮🇩🙏,2024-03-22T17:10:44Z,0
@ciky98,"Halo ahmad sahroni di panggil kpk, nanti nyusul anis dan ganjar😂",2024-03-22T17:07:07Z,0
@abudilyas7404,"Di diri mas bowo,1, tiada dendam,dua terus berjuang, riga tetap mnfhargai ,4 legowo,5 ,tegas,6,rendah diri,dan yg paling pokok ikhlas.",2024-03-22T17:05:12Z,0
@ridwanjaya-n7n,awas pak janji makan siang geratis sama susu geratis nya pura2 lupa,2024-03-22T16:58:14Z,0
@awangunawan9581,Tolong perhatikan rakyat bos,2024-03-22T16:52:14Z,0
@awangunawan9581,Awas korupsi moal di kawinkeun,2024-03-22T16:50:12Z,0
@didiputra3266,Mantap pa wowo ini❤,2024-03-22T16:48:18Z,0
@EdoHusnadi,Mudah2 an pro rakyat,2024-03-22T16:46:48Z,0
@roni7896,"Aamiin ya alloh ya robbal, 'alamiin🤲🤲🤲",2024-03-22T16:39:44Z,0
@roni7896,Alhmdllah se orang pmimpin yg rendah hati tegas dan br wibawa🙏🙏🙏sukses trus pa prabowo alloh mmbrkati mo..,2024-03-22T16:37:22Z,1
@DulgaNi-w8p,BAPAK di belakang bapak Prabowo Subianto yg memakai baju biru menahan tangis.... Tangisan terharu atas kemenangan bapak Prabowo Subianto 🙏🙏🙏,2024-03-22T16:36:40Z,0
@CuplishCuy,"Senangnya hatiku hilang panas demamku....prabowo oh prabowo 😅😅😅😅😅😅
Selamat ya pak semoga amanah buat rakyat aamiin....salam damai salam 2 jari....",2024-03-22T16:33:51Z,0
@darulfamily1132,😂😂😂😂😂 kau itu siapa  mentang menang penuh ke curangan 👎 bilang madat rakyat orang baper 👎👎👎🤣🤣,2024-03-22T16:31:36Z,0
@sukiminkimin9944,Jadi apa indonesia di pimpin sama orang yg  pintar sperti ini,2024-03-22T16:08:22Z,0
@sukiminkimin9944,Nampak kelihatan bodohnya  huhuhuuuu pidato kaya anak kecil,2024-03-22T16:07:40Z,0
@YuliusMauk-wj8bm,Maju trus kami mili bapa n Gibran bukan karena curang tpi dgn hati nurani sendiro jgn percaya pendemo bayaran itu,2024-03-22T15:59:38Z,0
@sardon8399,Sombongnya komplotan koruptor dan pelanggar HAM ini. Negara di jadikan mainan oleh komplotan kecurangan pemilu ini,2024-03-22T15:52:05Z,0
@irwantrianto4867,Hitungannya  cepat curang gak lewat hp pakai digital,2024-03-22T15:50:53Z,0
@irwantrianto4867,Ngapusi rakyat kecil chenes dan kolongmetat dipelihara,2024-03-22T15:43:21Z,0
@irwantrianto4867,Lombonin rakyat,2024-03-22T15:41:13Z,0
@dki2843,Bpk dari semua bpk❤❤❤❤ RI 1,2024-03-22T15:33:35Z,0
@muhamadevanyuliarman2968,02 yes..,2024-03-22T15:30:13Z,0
@Didi-yu9tz,"Kemenangan karena kecurangan.
Mau dibawa kemana negeri ini.",2024-03-22T15:27:59Z,0
@sunartonarto2391,Lega/plong 02,2024-03-22T15:27:49Z,0
@DenihsartikaSartika,alhamdullillah peminpin dzolim akhirnya sirna. terima kasih ya allah engkau kabulkan doa .,2024-03-22T15:27:21Z,0
@brodhen5040,Wapresnya mana pak kok sendirian?,2024-03-22T15:18:54Z,0
@lenis7149,Kok mas gibrannya gk ada y,2024-03-22T15:07:07Z,0
@dionisiustimo2130,"Kefamenanu-NTT, HADIR. BRAVO JENDRAL!!!!",2024-03-22T15:06:55Z,0
@lainpadang8033,YESSSSSSS ❤ 3:00 ~ 3:17,2024-03-22T14:57:35Z,0
@kusnankusnan5886,"Selamat pa ,, semoga bp menjadi pemiimpin yg amanah   jadikan negri ini menjadi lebih maju lagi ,sehat selalu pa panjang umur",2024-03-22T14:49:08Z,0
@AeAe-v6t,Selamat pa gemoi smoga anda jd tauladn dn bisa mmimpin negri yg majemuk ini amin❤,2024-03-22T14:44:16Z,0
@InfinixSmart-cy1pd,"Saya harap2 biar pendukung 01 jadi kerbau semua, biar harga daging turun ,😂😂
Malas lihat yg teriak teriak gk jelas tiap hari, bikin macet saja.",2024-03-22T14:43:13Z,0
@TheIndonesianStallion,"Semangat utk Indonesia Maju Jendral..Lawan Nekolim n Zionist Dunia,,I'm Behind You ❤️🇮🇩",2024-03-22T14:29:23Z,0
@MuhammadSolehudin-uh8ld,Kompetisi blm selesai,2024-03-22T14:28:35Z,0
@mahendrapanjaitan477,Kalian hanya sekumpulan penipu,2024-03-22T14:24:30Z,0
@ahmadmubarok962,Salam tiga periode indonesia maju🤟,2024-03-22T14:23:50Z,0
@mancingapaadanya8479,Hancur negri ini,2024-03-22T14:23:25Z,0
@apsuryani4445,S7 bersatu bergandengan tangan IMANUEL N GOOD LUCK,2024-03-22T14:23:04Z,0
@rahmawatirahmawati3212,Aamiin..❤,2024-03-22T14:15:19Z,0
@STORYheboh,Mandat rakyat yang mana,2024-03-22T14:12:59Z,0
@STORYheboh,Mandat yang mana,2024-03-22T14:12:48Z,0
@AghusNhabil,"Aamiin
Semangat terus pak allah bersama mu",2024-03-22T14:11:48Z,0
@bangnavbangewok9072,Pa Prabowo Subianto sudah mendunia,2024-03-22T14:03:28Z,0
@NurDayat-wi3vt,Alhamdulillah,2024-03-22T14:02:24Z,0
@bangnavbangewok9072,✌️✌️✌️👍👍👍🇮🇩🇮🇩🇮🇩🇮🇩,2024-03-22T14:02:07Z,0
@nasraruddin7946,Pilihan curang,2024-03-22T13:59:27Z,0
@huseinhusein5345,Alhamdulilah terimakasih ya Allah no 02: pilihan yang terbaik ❤❤❤❤,2024-03-22T13:46:08Z,0
@paryadi7163,Selamat Prabowo hayo kerja yg amanah gembosi pejabat yg nakal jangan pandang bulu untuk rakyat dan negara dan ibadahmu,2024-03-22T13:44:28Z,0
@user-rc8wq5tf7p,Mantabek pak prabowo,2024-03-22T13:38:51Z,0
@iankadhimopenbuka5244,Mantap bapak Prabowo tugas saya sudah selesai semoga bapak Prabowo sihat selalu memimpin negara Indonesia kedepannya...,2024-03-22T13:38:36Z,0
@AbakdenAden-c6q,KETIKA MELIHAT PAK SURYA PALOH BERPELUKAN DISITULAH HATI ANIS DAN PENDUKUNGNYA TERGUNCANG😂😂,2024-03-22T13:36:38Z,0
@bocilmasakini7066,dari 2014 memilih bapak prabowo subianto 👍👍 alhamdulillah jadi,2024-03-22T13:23:43Z,0
@nzfun7429,"Selamat Jenderal 
Semoga sukses dan amanah .",2024-03-22T13:05:46Z,0
@orggabut6299,"Alhamdulillah....selamat jendral kami titip bangsa ini di pundakmu dan mas Gibran semoga Indonesia mkn baik kedepannya,sehat selalu jendral🤲",2024-03-22T12:40:15Z,2
